,year,month,value
0,1975,1,3.332
1,1975,2,0.614
2,1975,3,1.081
3,1975,4,1.062
4,1975,5,1.089
5,1975,6,1.247
6,1975,7,1.915
7,1975,8,2.276
8,1975,9,3.847
9,1975,10,2.206
10,1975,11,2.683
11,1975,12,0.884
12,1976,1,1.113
13,1976,2,1.328
14,1976,3,0.203
15,1976,4,0.547
16,1976,5,1.323
17,1976,6,0.573
18,1976,7,1.065
19,1976,8,0.387
20,1976,9,1.39
21,1976,10,5.845
22,1976,11,2.95
23,1976,12,1.624
24,1977,1,2.142
25,1977,2,0.898
26,1977,3,1.703
27,1977,4,2.54
28,1977,5,0.848
29,1977,6,2.603
30,1977,7,2.206
31,1977,8,1.268
32,1977,9,1.79
33,1977,10,2.024
34,1977,11,2.662
35,1977,12,1.574
36,1978,1,2.253
37,1978,2,1.58
38,1978,3,3.271
39,1978,4,0.653
40,1978,5,0.555
41,1978,6,1.21
42,1978,7,3.935
43,1978,8,2.866
44,1978,9,2.66
45,1978,10,0.677
46,1978,11,0.928
47,1978,12,0.771
48,1979,1,0.374
49,1979,2,0.616
50,1979,3,3.698
51,1979,4,2.678
52,1979,5,1.921
53,1979,6,1.283
54,1979,7,2.756
55,1979,8,3.244
56,1979,9,2.783
57,1979,10,2.445
58,1979,11,3.393
59,1979,12,1.858
60,1980,1,0.526
61,1980,2,0.903
62,1980,3,0.994
63,1980,4,0.153
64,1980,5,1.871
65,1980,6,4.148
66,1980,7,2.46
67,1980,8,4.713
68,1980,9,2.67
69,1980,10,3.697
70,1980,11,1.247
71,1980,12,1.694
72,1981,1,0.584
73,1981,2,0.829
74,1981,3,2.052
75,1981,4,0.38
76,1981,5,2.2
77,1981,6,3.173
78,1981,7,3.416
79,1981,8,0.4
80,1981,9,2.48
81,1981,10,2.806
82,1981,11,3.843
83,1981,12,1.194
84,1982,1,0.861
85,1982,2,1.341
86,1982,3,2.853
87,1982,4,1.327
88,1982,5,2.4
89,1982,6,1.077
90,1982,7,1.119
91,1982,8,2.711
92,1982,9,3.963
93,1982,10,2.187
94,1982,11,4.365
95,1982,12,3.384
96,1983,1,0.874
97,1983,2,0.482
98,1983,3,1.161
99,1983,4,1.56
100,1983,5,3.284
101,1983,6,0.978
102,1983,7,1.308
103,1983,8,0.8
104,1983,9,5.51
105,1983,10,3.139
106,1983,11,0.613
107,1983,12,1.458
108,1984,1,2.558
109,1984,2,0.69
110,1984,3,0.69
111,1984,4,0.93
112,1984,5,1.616
113,1984,6,3.598
114,1984,7,2.779
115,1984,8,3.068
116,1984,9,3.217
117,1984,10,4.535
118,1984,11,1.713
119,1984,12,3.121
120,1985,1,1.321
121,1985,2,1.423
122,1985,3,2.379
123,1985,4,2.507
124,1985,5,0.987
125,1985,6,2.963
126,1985,7,3.663
127,1985,8,5.185
128,1985,9,4.388
129,1985,10,1.085
130,1985,11,1.53
131,1985,12,2.384
132,1986,1,2.115
133,1986,2,0.034
134,1986,3,1.723
135,1986,4,0.715
136,1986,5,2.069
137,1986,6,1.103
138,1986,7,1.873
139,1986,8,4.047
140,1986,9,0.945
141,1986,10,2.305
142,1986,11,2.515
143,1986,12,3.621
144,1987,1,0.558
145,1987,2,0.843
146,1987,3,2.49
147,1987,4,0.637
148,1987,5,1.542
149,1987,6,4.247
