,year,month,value
0,1975,1,0.11
1,1975,2,-3.664
2,1975,3,0.403
3,1975,4,4.172
4,1975,5,11.313
5,1975,6,14.288
6,1975,7,18.11
7,1975,8,18.45
8,1975,9,11.863
9,1975,10,7.121
10,1975,11,2.588
11,1975,12,0.618
12,1976,1,-4.865
13,1976,2,-2.766
14,1976,3,-1.794
15,1976,4,4.75
16,1976,5,11.46
17,1976,6,15.743
18,1976,7,18.379
19,1976,8,17.789
20,1976,9,9.63
21,1976,10,4.969
22,1976,11,0.667
23,1976,12,-4.424
24,1977,1,-4.369
25,1977,2,-6.159
26,1977,3,0.566
27,1977,4,2.338
28,1977,5,11.277
29,1977,6,15.403
30,1977,7,16.379
31,1977,8,15.534
32,1977,9,10.157
33,1977,10,7.153
34,1977,11,1.86
35,1977,12,-2.079
36,1978,1,-2.434
37,1978,2,-7.173
38,1978,3,-1.503
39,1978,4,3.78
40,1978,5,11.355
41,1978,6,16.202
42,1978,7,15.192
43,1978,8,15.063
44,1978,9,9.087
45,1978,10,6.31
46,1978,11,3.86
47,1978,12,-7.984
48,1979,1,-8.116
49,1979,2,-6.864
50,1979,3,-0.561
51,1979,4,3.857
52,1979,5,8.424
53,1979,6,15.908
54,1979,7,15.584
55,1979,8,14.095
56,1979,9,10.487
57,1979,10,4.558
58,1979,11,-0.213
59,1979,12,-3.535
60,1980,1,-6.644
61,1980,2,-7.903
62,1980,3,-2.471
63,1980,4,5.232
64,1980,5,11.982
65,1980,6,15.958
66,1980,7,17.244
67,1980,8,15.265
68,1980,9,11.718
69,1980,10,4.594
70,1980,11,-1.952
71,1980,12,-1.497
72,1981,1,-4.084
73,1981,2,-4.102
74,1981,3,-2.384
75,1981,4,4.528
76,1981,5,11.963
77,1981,6,12.745
78,1981,7,16.158
79,1981,8,15.377
80,1981,9,12.258
81,1981,10,4.992
82,1981,11,0.495
83,1981,12,-9.058
84,1982,1,-8.174
85,1982,2,-3.738
86,1982,3,1.535
87,1982,4,5.03
88,1982,5,9.713
89,1982,6,13.952
90,1982,7,18.092
91,1982,8,16.405
92,1982,9,11.92
93,1982,10,6.161
94,1982,11,2.503
95,1982,12,-1.853
96,1983,1,0.582
97,1983,2,-4.296
98,1983,3,1.279
99,1983,4,5.305
100,1983,5,10.537
101,1983,6,14.267
102,1983,7,17.89
103,1983,8,16.64
104,1983,9,11.533
105,1983,10,6.784
106,1983,11,1.332
107,1983,12,-1.326
108,1984,1,-5.016
109,1984,2,-2.852
110,1984,3,-1.484
111,1984,4,5.5
112,1984,5,12.445
113,1984,6,14.687
114,1984,7,16.215
115,1984,8,16.276
116,1984,9,10.015
117,1984,10,7.79
118,1984,11,2.788
119,1984,12,0.676
120,1985,1,-8.774
121,1985,2,-9.382
122,1985,3,-0.785
123,1985,4,2.587
124,1985,5,11.561
125,1985,6,14.225
126,1985,7,16.179
127,1985,8,14.661
128,1985,9,8.847
129,1985,10,7.379
130,1985,11,-1.198
131,1985,12,-6.727
132,1986,1,-7.023
133,1986,2,-7.691
134,1986,3,0.234
135,1986,4,2.49
136,1986,5,10.897
137,1986,6,16.335
138,1986,7,16.677
139,1986,8,13.073
140,1986,9,8.483
141,1986,10,6.568
142,1986,11,4.018
143,1986,12,-1.621
144,1987,1,-10.742
145,1987,2,-4.416
146,1987,3,-4.318
147,1987,4,5.007
148,1987,5,9.311
149,1987,6,12.068
150,1987,7,16.521
151,1987,8,13.095
152,1987,9,9.635
153,1987,10,7.674
154,1987,11,0.542
155,1987,12,-2.86
156,1988,1,0.668
157,1988,2,-1.438
158,1988,3,-1.563
159,1988,4,3.197
160,1988,5,12.135
161,1988,6,18.655
162,1988,7,16.344
163,1988,8,14.966
164,1988,9,12.048
165,1988,10,4.95
166,1988,11,-1.117
167,1988,12,-3.027
168,1989,1,2.255
169,1989,2,2.534
170,1989,3,3.418
171,1989,4,5.122
172,1989,5,10.998
173,1989,6,15.193
174,1989,7,17.14
175,1989,8,14.218
176,1989,9,11.575
177,1989,10,6.29
178,1989,11,2.618
179,1989,12,-2.685
180,1990,1,0.629
181,1990,2,3.48
182,1990,3,4.31
183,1990,4,6.365
184,1990,5,12.426
185,1990,6,15.238
186,1990,7,16.635
187,1990,8,16.126
188,1990,9,10.17
189,1990,10,6.082
190,1990,11,0.072
191,1990,12,-1.066
192,1991,1,-2.992
193,1991,2,-4.205
194,1991,3,1.661
195,1991,4,5.365
196,1991,5,10.608
197,1991,6,11.718
198,1991,7,18.24
199,1991,8,16.677
200,1991,9,11.338
201,1991,10,6.321
202,1991,11,2.235
203,1991,12,0.032
204,1992,1,-0.6
205,1992,2,-0.157
206,1992,3,2.598
207,1992,4,4.077
208,1992,5,13.076
209,1992,6,17.933
210,1992,7,16.469
211,1992,8,14.142
212,1992,9,11.058
