,year,month,value
0,1975,1,2.35
1,1975,2,0.0
2,1975,3,0.0
3,1975,4,0.0
4,1975,5,0.1
5,1975,6,0.0
6,1975,7,0.0
7,1975,8,0.0
8,1975,9,1.275
9,1975,10,0.05
10,1975,11,0.25
11,1975,12,0.0
12,1976,1,0.0
13,1976,2,0.1
14,1976,3,0.0
15,1976,4,0.0
16,1976,5,0.0
17,1976,6,0.0
18,1976,7,0.0
19,1976,8,0.0
20,1976,9,0.0
21,1976,10,2.35
22,1976,11,1.35
23,1976,12,0.2
24,1977,1,1.6
25,1977,2,0.1
26,1977,3,0.1
27,1977,4,0.925
28,1977,5,0.0
29,1977,6,0.15
30,1977,7,0.1
31,1977,8,0.0
32,1977,9,0.275
33,1977,10,1.2
34,1977,11,1.1
35,1977,12,0.0
36,1978,1,1.0
37,1978,2,0.7
38,1978,3,1.5
39,1978,4,0.0
40,1978,5,0.0
41,1978,6,0.075
42,1978,7,0.9
43,1978,8,0.25
44,1978,9,0.5
45,1978,10,0.05
46,1978,11,0.05
47,1978,12,0.25
48,1979,1,0.05
49,1979,2,0.0
50,1979,3,1.25
51,1979,4,0.325
52,1979,5,0.5
53,1979,6,0.05
54,1979,7,1.35
55,1979,8,0.3
56,1979,9,1.05
57,1979,10,0.1
58,1979,11,1.125
59,1979,12,0.1
60,1980,1,0.05
61,1980,2,0.0
62,1980,3,0.0
63,1980,4,0.0
64,1980,5,0.0
65,1980,6,1.825
66,1980,7,1.4
67,1980,8,0.65
68,1980,9,0.4
69,1980,10,0.45
70,1980,11,0.1
71,1980,12,0.25
72,1981,1,0.0
73,1981,2,0.0
74,1981,3,0.7
75,1981,4,0.0
76,1981,5,0.1
77,1981,6,1.225
78,1981,7,0.3
79,1981,8,0.0
80,1981,9,0.0
81,1981,10,1.0
82,1981,11,1.55
83,1981,12,0.2
84,1982,1,0.0
85,1982,2,0.05
86,1982,3,2.0
87,1982,4,0.0
88,1982,5,0.1
89,1982,6,0.0
90,1982,7,0.0
91,1982,8,0.0
92,1982,9,1.55
93,1982,10,0.45
94,1982,11,2.4
95,1982,12,0.2
96,1983,1,0.05
97,1983,2,0.0
98,1983,3,0.1
99,1983,4,0.5
100,1983,5,2.35
101,1983,6,0.0
102,1983,7,0.0
103,1983,8,0.0
104,1983,9,0.9
105,1983,10,0.5
106,1983,11,0.0
107,1983,12,0.05
108,1984,1,1.5
109,1984,2,0.1
110,1984,3,0.0
111,1984,4,0.0
112,1984,5,0.15
113,1984,6,2.275
114,1984,7,0.0
115,1984,8,0.0
116,1984,9,1.1
117,1984,10,2.15
118,1984,11,0.35
119,1984,12,0.1
120,1985,1,0.05
121,1985,2,0.025
122,1985,3,0.75
123,1985,4,0.4
124,1985,5,0.0
125,1985,6,1.875
126,1985,7,1.05
127,1985,8,1.8
128,1985,9,0.275
129,1985,10,0.0
130,1985,11,0.0
131,1985,12,0.3
132,1986,1,0.8
133,1986,2,0.0
134,1986,3,0.95
135,1986,4,0.0
136,1986,5,0.5
137,1986,6,0.0
138,1986,7,0.0
139,1986,8,0.8
140,1986,9,0.1
141,1986,10,0.4
142,1986,11,1.525
143,1986,12,2.3
144,1987,1,0.0
145,1987,2,0.0
146,1987,3,0.0
147,1987,4,0.0
148,1987,5,0.1
149,1987,6,3.575
150,1987,7,0.15
151,1987,8,0.6
152,1987,9,1.15
153,1987,10,1.35
154,1987,11,0.45
155,1987,12,0.0
156,1988,1,2.6
157,1988,2,2.15
158,1988,3,0.5
159,1988,4,0.0
160,1988,5,0.0
161,1988,6,0.0
162,1988,7,4.45
163,1988,8,1.4
164,1988,9,1.425
165,1988,10,0.1
166,1988,11,0.0
167,1988,12,0.05
168,1989,1,0.0
169,1989,2,0.25
170,1989,3,1.7
171,1989,4,1.05
172,1989,5,0.0
173,1989,6,0.0
174,1989,7,0.0
175,1989,8,1.9
176,1989,9,0.05
177,1989,10,1.25
178,1989,11,0.05
179,1989,12,0.0
180,1990,1,0.55
181,1990,2,2.325
182,1990,3,0.0
183,1990,4,0.2
184,1990,5,0.0
185,1990,6,1.075
186,1990,7,0.1
187,1990,8,1.0
188,1990,9,0.0
189,1990,10,0.45
190,1990,11,0.05
191,1990,12,0.85
192,1991,1,0.1
193,1991,2,0.0
194,1991,3,0.8
195,1991,4,0.0
196,1991,5,0.0
197,1991,6,1.7
198,1991,7,0.0
199,1991,8,0.05
200,1991,9,0.0
201,1991,10,0.0
202,1991,11,2.225
203,1991,12,0.0
204,1992,1,0.0
205,1992,2,0.0
206,1992,3,1.2
207,1992,4,0.475
208,1992,5,0.0
209,1992,6,0.0
210,1992,7,1.0
211,1992,8,2.0
212,1992,9,0.55
213,1992,10,0.0
214,1992,11,3.8
215,1992,12,0.0
216,1993,1,0.2
217,1993,2,0.0
218,1993,3,0.0
219,1993,4,0.0
220,1993,5,0.0
221,1993,6,0.0
222,1993,7,1.0
223,1993,8,0.65
224,1993,9,0.0
225,1993,10,0.05
226,1993,11,0.1
227,1993,12,1.1
228,1994,1,0.3
229,1994,2,0.0
230,1994,3,0.0
231,1994,4,0.0
232,1994,5,0.0
233,1994,6,0.35
234,1994,7,0.0
235,1994,8,0.3
236,1994,9,0.225
237,1994,10,0.0
238,1994,11,0.0
239,1994,12,0.65
240,1995,1,0.9
241,1995,2,1.275
