,year,month,value
0,1975,1,0.4
1,1975,2,-3.875
2,1975,3,0.4
3,1975,4,4.6
4,1975,5,11.45
5,1975,6,14.925
6,1975,7,18.2
7,1975,8,17.05
8,1975,9,11.875
9,1975,10,8.1
10,1975,11,2.1
11,1975,12,1.5
12,1976,1,-4.95
13,1976,2,-2.1
14,1976,3,-1.95
15,1976,4,4.775
16,1976,5,10.8
17,1976,6,14.65
18,1976,7,18.75
19,1976,8,17.65
20,1976,9,9.525
21,1976,10,4.55
22,1976,11,1.1
23,1976,12,-3.9
24,1977,1,-4.1
25,1977,2,-5.75
26,1977,3,1.1
27,1977,4,2.725
28,1977,5,10.5
29,1977,6,15.4
30,1977,7,14.9
31,1977,8,15.55
32,1977,9,9.55
33,1977,10,7.7
34,1977,11,2.95
35,1977,12,-2.05
36,1978,1,-2.15
37,1978,2,-7.85
38,1978,3,0.6
39,1978,4,3.85
40,1978,5,10.75
41,1978,6,16.025
42,1978,7,14.75
43,1978,8,15.15
44,1978,9,9.15
45,1978,10,6.45
46,1978,11,5.6
47,1978,12,-8.15
48,1979,1,-7.15
49,1979,2,-6.575
50,1979,3,0.5
51,1979,4,3.65
52,1979,5,8.95
53,1979,6,16.1
54,1979,7,15.75
55,1979,8,14.0
56,1979,9,10.65
57,1979,10,4.55
58,1979,11,-0.2
59,1979,12,-2.75
60,1980,1,-6.45
61,1980,2,-6.95
62,1980,3,-1.55
63,1980,4,5.475
64,1980,5,11.5
65,1980,6,15.1
66,1980,7,16.8
67,1980,8,14.9
68,1980,9,11.475
69,1980,10,5.75
70,1980,11,-1.825
71,1980,12,-0.95
72,1981,1,-3.85
73,1981,2,-4.8
74,1981,3,-2.7
75,1981,4,4.925
76,1981,5,13.25
77,1981,6,12.675
78,1981,7,16.45
79,1981,8,15.0
80,1981,9,11.925
81,1981,10,4.65
82,1981,11,0.3
83,1981,12,-9.05
84,1982,1,-6.9
85,1982,2,-3.65
86,1982,3,1.4
87,1982,4,4.875
88,1982,5,9.2
89,1982,6,13.575
90,1982,7,18.5
91,1982,8,14.35
92,1982,9,12.55
93,1982,10,5.35
94,1982,11,1.725
95,1982,12,-1.8
96,1983,1,1.45
97,1983,2,-4.0
98,1983,3,1.5
99,1983,4,5.375
100,1983,5,10.35
101,1983,6,13.975
102,1983,7,18.2
103,1983,8,16.65
104,1983,9,12.05
105,1983,10,6.7
106,1983,11,0.95
107,1983,12,-0.95
108,1984,1,-3.85
109,1984,2,-3.45
110,1984,3,-1.4
111,1984,4,4.875
112,1984,5,12.35
113,1984,6,14.05
114,1984,7,16.2
115,1984,8,16.05
116,1984,9,9.675
117,1984,10,8.1
118,1984,11,2.475
119,1984,12,0.55
120,1985,1,-9.25
121,1985,2,-9.4
122,1985,3,-0.5
123,1985,4,2.275
124,1985,5,12.05
125,1985,6,15.05
126,1985,7,16.25
127,1985,8,14.95
128,1985,9,8.55
129,1985,10,8.4
130,1985,11,-1.25
131,1985,12,-6.55
132,1986,1,-6.85
133,1986,2,-7.425
134,1986,3,0.65
135,1986,4,1.925
136,1986,5,10.35
137,1986,6,15.875
138,1986,7,16.75
139,1986,8,13.3
140,1986,9,8.075
141,1986,10,6.7
142,1986,11,4.175
143,1986,12,-1.15
144,1987,1,-10.7
145,1987,2,-5.075
146,1987,3,-3.75
147,1987,4,4.8
148,1987,5,8.95
149,1987,6,11.5
150,1987,7,15.95
151,1987,8,13.0
152,1987,9,9.65
153,1987,10,8.0
154,1987,11,0.725
155,1987,12,-2.35
156,1988,1,0.85
157,1988,2,-1.05
158,1988,3,-1.35
159,1988,4,2.95
160,1988,5,11.8
161,1988,6,19.375
162,1988,7,16.4
163,1988,8,14.8
164,1988,9,12.375
165,1988,10,5.5
166,1988,11,-0.7
167,1988,12,-2.1
168,1989,1,2.1
169,1989,2,2.375
170,1989,3,3.45
171,1989,4,4.375
172,1989,5,10.5
173,1989,6,15.45
174,1989,7,17.5
175,1989,8,14.3
176,1989,9,11.6
177,1989,10,6.6
178,1989,11,3.125
179,1989,12,-2.1
180,1990,1,1.9
181,1990,2,3.925
182,1990,3,4.7
183,1990,4,5.95
184,1990,5,12.4
185,1990,6,14.975
186,1990,7,15.95
187,1990,8,15.85
188,1990,9,10.425
189,1990,10,6.85
190,1990,11,1.25
191,1990,12,-1.15
192,1991,1,-2.15
193,1991,2,-5.35
194,1991,3,1.45
195,1991,4,5.575
196,1991,5,9.85
197,1991,6,11.5
198,1991,7,17.45
199,1991,8,16.65
200,1991,9,10.725
201,1991,10,6.95
202,1991,11,3.1
203,1991,12,-0.2
204,1992,1,-0.1
205,1992,2,0.75
206,1992,3,2.85
207,1992,4,4.5
208,1992,5,12.45
209,1992,6,17.8
210,1992,7,16.5
211,1992,8,14.25
212,1992,9,11.225
213,1992,10,2.25
214,1992,11,1.075
215,1992,12,-0.8
216,1993,1,1.0
217,1993,2,-1.1
218,1993,3,1.45
219,1993,4,4.15
220,1993,5,12.95
221,1993,6,13.35
222,1993,7,15.05
223,1993,8,12.75
224,1993,9,8.375
225,1993,10,4.25
226,1993,11,0.05
227,1993,12,-3.1
228,1994,1,-4.3
229,1994,2,-7.375
230,1994,3,1.25
231,1994,4,5.925
232,1994,5,10.45
233,1994,6,13.7
234,1994,7,20.5
235,1994,8,15.35
236,1994,9,11.15
