,year,month,value
0,1975,1,3.1
1,1975,2,0.9
2,1975,3,2.1
3,1975,4,2.85
4,1975,5,3.6
5,1975,6,3.25
6,1975,7,2.9
7,1975,8,2.1
8,1975,9,3.0
9,1975,10,2.1
10,1975,11,1.85
11,1975,12,2.7
12,1976,1,1.7
13,1976,2,1.4
14,1976,3,2.4
15,1976,4,3.25
16,1976,5,2.7
17,1976,6,3.1
18,1976,7,3.1
19,1976,8,2.1
20,1976,9,2.25
21,1976,10,2.9
22,1976,11,1.65
23,1976,12,2.8
24,1977,1,2.2
25,1977,2,2.25
26,1977,3,1.7
27,1977,4,3.3
28,1977,5,3.1
29,1977,6,3.0
30,1977,7,2.9
31,1977,8,2.8
32,1977,9,3.1
33,1977,10,2.1
34,1977,11,2.95
35,1977,12,1.4
36,1978,1,2.1
37,1978,2,2.4
38,1978,3,2.4
39,1978,4,2.15
40,1978,5,2.9
41,1978,6,2.85
42,1978,7,2.8
43,1978,8,2.4
44,1978,9,2.5
45,1978,10,1.7
46,1978,11,3.8
47,1978,12,3.1
48,1979,1,1.4
49,1979,2,1.4
50,1979,3,4.0
51,1979,4,2.4
52,1979,5,2.6
53,1979,6,2.5
54,1979,7,2.1
55,1979,8,2.6
56,1979,9,3.1
57,1979,10,1.9
58,1979,11,2.0
59,1979,12,2.4
60,1980,1,1.7
61,1980,2,0.7
62,1980,3,3.3
63,1980,4,2.15
64,1980,5,2.9
65,1980,6,2.2
66,1980,7,2.2
67,1980,8,2.4
68,1980,9,1.8
69,1980,10,3.4
70,1980,11,1.5
71,1980,12,2.2
72,1981,1,2.4
73,1981,2,1.75
74,1981,3,1.7
75,1981,4,2.65
76,1981,5,2.4
77,1981,6,3.2
78,1981,7,3.1
79,1981,8,2.2
80,1981,9,1.7
81,1981,10,1.5
82,1981,11,2.3
83,1981,12,1.7
84,1982,1,1.4
85,1982,2,1.2
86,1982,3,1.9
87,1982,4,2.5
88,1982,5,2.1
89,1982,6,2.7
90,1982,7,2.2
91,1982,8,2.2
92,1982,9,2.65
93,1982,10,2.1
94,1982,11,1.75
95,1982,12,1.2
96,1983,1,2.4
97,1983,2,1.9
98,1983,3,2.6
99,1983,4,2.85
100,1983,5,2.8
101,1983,6,3.35
102,1983,7,2.4
103,1983,8,2.6
104,1983,9,2.65
105,1983,10,3.6
106,1983,11,1.95
107,1983,12,2.6
108,1984,1,3.9
109,1984,2,2.6
110,1984,3,3.3
111,1984,4,2.85
112,1984,5,2.7
113,1984,6,3.35
114,1984,7,2.4
115,1984,8,2.0
116,1984,9,2.4
117,1984,10,2.4
118,1984,11,3.4
119,1984,12,2.4
120,1985,1,2.3
121,1985,2,1.2
122,1985,3,3.1
123,1985,4,2.65
124,1985,5,2.9
125,1985,6,2.7
126,1985,7,2.4
127,1985,8,2.6
128,1985,9,2.4
129,1985,10,1.9
130,1985,11,3.0
131,1985,12,1.7
132,1986,1,2.7
133,1986,2,1.55
134,1986,3,2.4
135,1986,4,3.6
136,1986,5,3.1
137,1986,6,2.8
138,1986,7,3.2
139,1986,8,2.6
140,1986,9,2.3
141,1986,10,2.4
142,1986,11,2.5
143,1986,12,3.3
144,1987,1,2.1
145,1987,2,1.5
146,1987,3,2.0
147,1987,4,2.5
148,1987,5,2.9
149,1987,6,2.2
150,1987,7,3.1
151,1987,8,2.6
152,1987,9,1.9
153,1987,10,3.1
154,1987,11,1.4
155,1987,12,1.0
156,1988,1,2.7
157,1988,2,2.6
158,1988,3,2.4
159,1988,4,2.9
160,1988,5,2.4
161,1988,6,2.6
162,1988,7,3.1
163,1988,8,2.3
164,1988,9,2.5
165,1988,10,2.4
166,1988,11,1.45
167,1988,12,1.7
168,1989,1,1.5
169,1989,2,2.7
170,1989,3,2.4
171,1989,4,3.2
172,1989,5,3.1
173,1989,6,2.6
174,1989,7,2.6
175,1989,8,2.4
176,1989,9,2.15
177,1989,10,2.1
178,1989,11,1.9
179,1989,12,1.7
180,1990,1,1.9
181,1990,2,3.5
182,1990,3,3.8
183,1990,4,3.15
184,1990,5,3.1
185,1990,6,2.7
186,1990,7,3.1
187,1990,8,2.7
188,1990,9,2.75
189,1990,10,2.3
190,1990,11,1.7
191,1990,12,1.5
192,1991,1,1.5
193,1991,2,2.6
194,1991,3,1.7
195,1991,4,3.3
196,1991,5,3.9
197,1991,6,2.6
198,1991,7,2.2
199,1991,8,2.6
200,1991,9,2.75
201,1991,10,2.2
202,1991,11,2.7
203,1991,12,1.9
204,1992,1,1.4
205,1992,2,2.0
206,1992,3,2.6
207,1992,4,2.8
208,1992,5,2.6
209,1992,6,2.9
210,1992,7,3.1
211,1992,8,2.5
212,1992,9,2.15
213,1992,10,2.6
214,1992,11,2.0
215,1992,12,1.7
216,1993,1,4.1
217,1993,2,2.3
218,1993,3,2.5
219,1993,4,2.4
220,1993,5,3.2
221,1993,6,3.1
222,1993,7,3.1
223,1993,8,2.9
224,1993,9,2.45
225,1993,10,2.1
226,1993,11,2.3
227,1993,12,2.1
228,1994,1,2.1
229,1994,2,2.9
230,1994,3,2.9
231,1994,4,3.35
232,1994,5,3.1
233,1994,6,3.5
234,1994,7,2.4
235,1994,8,2.8
236,1994,9,2.75
237,1994,10,2.6
238,1994,11,1.5
239,1994,12,1.7
240,1995,1,2.7
241,1995,2,1.9
242,1995,3,2.6
243,1995,4,3.35
244,1995,5,2.9
245,1995,6,2.9
246,1995,7,2.7
247,1995,8,2.8
248,1995,9,4.1
249,1995,10,2.9
250,1995,11,1.95
251,1995,12,1.2
252,1996,1,1.5
253,1996,2,2.2
254,1996,3,2.8
255,1996,4,2.2
256,1996,5,3.6
257,1996,6,3.1
258,1996,7,2.7
259,1996,8,2.6
260,1996,9,1.85
261,1996,10,2.4
262,1996,11,2.4
263,1996,12,1.5
264,1997,1,1.4
265,1997,2,2.65
266,1997,3,3.1
267,1997,4,3.4
268,1997,5,2.6
269,1997,6,3.0
270,1997,7,2.4
271,1997,8,2.4
272,1997,9,2.5
273,1997,10,2.6
274,1997,11,2.4
275,1997,12,1.9
276,1998,1,2.2
277,1998,2,2.15
278,1998,3,2.6
279,1998,4,2.85
280,1998,5,3.1
281,1998,6,2.8
282,1998,7,2.4
283,1998,8,2.8
284,1998,9,2.85
285,1998,10,2.4
286,1998,11,2.15
287,1998,12,2.1
288,1999,1,2.3
289,1999,2,1.95
290,1999,3,2.6
291,1999,4,2.65
292,1999,5,3.1
293,1999,6,3.2
294,1999,7,2.8
295,1999,8,2.6
296,1999,9,2.2
297,1999,10,2.4
298,1999,11,2.75
299,1999,12,2.8
300,2000,1,2.0
301,2000,2,2.1
302,2000,3,2.2
303,2000,4,2.7
304,2000,5,2.7
305,2000,6,3.75
306,2000,7,2.4
307,2000,8,2.4
308,2000,9,2.75
309,2000,10,3.1
310,2000,11,2.15
311,2000,12,2.4
312,2001,1,1.7
313,2001,2,2.2
314,2001,3,2.2
315,2001,4,2.8
316,2001,5,3.1
317,2001,6,2.9
318,2001,7,2.9
319,2001,8,2.1
320,2001,9,2.3
321,2001,10,2.1
322,2001,11,1.9
323,2001,12,1.7
324,2002,1,1.5
325,2002,2,2.4
326,2002,3,2.6
327,2002,4,2.6
328,2002,5,2.9
329,2002,6,3.0
330,2002,7,2.9
331,2002,8,1.9
332,2002,9,2.1
333,2002,10,2.7
334,2002,11,3.45
335,2002,12,2.4
336,2003,1,1.9
337,2003,2,1.4
338,2003,3,1.7
339,2003,4,2.9
340,2003,5,2.1
341,2003,6,1.9
342,2003,7,1.7
343,2003,8,1.9
344,2003,9,2.55
345,2003,10,2.1
346,2003,11,2.1
347,2003,12,2.4
