,year,month,value
0,1975,1,3.595
1,1975,2,2.039
2,1975,3,2.134
3,1975,4,2.171
4,1975,5,1.871
5,1975,6,3.086
6,1975,7,5.047
7,1975,8,5.206
8,1975,9,5.854
9,1975,10,3.899
10,1975,11,4.785
11,1975,12,3.419
12,1976,1,2.459
13,1976,2,2.432
14,1976,3,0.573
15,1976,4,1.36
16,1976,5,3.029
17,1976,6,1.091
18,1976,7,2.385
19,1976,8,1.315
20,1976,9,3.15
21,1976,10,8.657
22,1976,11,3.917
23,1976,12,3.37
24,1977,1,2.619
25,1977,2,1.689
26,1977,3,3.199
27,1977,4,3.959
28,1977,5,2.386
29,1977,6,4.116
30,1977,7,5.054
31,1977,8,2.359
32,1977,9,3.822
33,1977,10,2.921
34,1977,11,4.314
35,1977,12,2.996
36,1978,1,3.075
37,1978,2,2.271
38,1978,3,4.143
39,1978,4,1.567
40,1978,5,1.576
41,1978,6,2.291
42,1978,7,5.66
43,1978,8,5.033
44,1978,9,5.206
45,1978,10,1.572
46,1978,11,2.053
47,1978,12,1.704
48,1979,1,0.676
49,1979,2,1.222
50,1979,3,6.373
51,1979,4,5.262
52,1979,5,2.903
53,1979,6,2.175
54,1979,7,3.122
55,1979,8,4.94
56,1979,9,5.329
57,1979,10,4.357
58,1979,11,5.468
59,1979,12,3.904
60,1980,1,0.956
61,1980,2,2.356
62,1980,3,2.157
63,1980,4,0.581
64,1980,5,4.033
65,1980,6,5.611
66,1980,7,2.46
67,1980,8,9.446
68,1980,9,4.567
69,1980,10,6.222
70,1980,11,2.242
71,1980,12,2.877
72,1981,1,1.586
73,1981,2,1.868
74,1981,3,2.86
75,1981,4,1.539
76,1981,5,4.663
77,1981,6,4.848
78,1981,7,6.816
79,1981,8,1.072
80,1981,9,5.716
81,1981,10,4.093
82,1981,11,4.964
83,1981,12,2.144
84,1982,1,1.573
85,1982,2,2.134
86,1982,3,2.95
87,1982,4,4.454
88,1982,5,4.146
89,1982,6,2.495
90,1982,7,3.596
91,1982,8,4.567
92,1982,9,6.351
93,1982,10,3.37
94,1982,11,5.442
95,1982,12,6.088
96,1983,1,1.623
97,1983,2,1.205
98,1983,3,2.794
99,1983,4,3.532
100,1983,5,4.196
101,1983,6,1.735
102,1983,7,2.391
103,1983,8,2.358
104,1983,9,7.876
105,1983,10,6.252
106,1983,11,1.559
107,1983,12,2.361
108,1984,1,3.859
109,1984,2,2.054
110,1984,3,1.756
111,1984,4,1.758
112,1984,5,3.935
113,1984,6,4.274
114,1984,7,6.747
115,1984,8,5.735
116,1984,9,4.507
117,1984,10,6.154
118,1984,11,2.536
119,1984,12,5.543
120,1985,1,2.531
121,1985,2,2.593
122,1985,3,3.076
123,1985,4,4.287
124,1985,5,2.17
125,1985,6,3.426
126,1985,7,7.461
127,1985,8,6.706
128,1985,9,9.597
129,1985,10,2.233
130,1985,11,3.636
131,1985,12,3.664
132,1986,1,3.009
133,1986,2,0.105
134,1986,3,2.562
135,1986,4,1.241
136,1986,5,3.717
137,1986,6,2.37
138,1986,7,5.54
139,1986,8,4.723
140,1986,9,1.673
141,1986,10,3.562
142,1986,11,2.639
143,1986,12,4.12
144,1987,1,1.461
145,1987,2,1.98
146,1987,3,4.798
147,1987,4,1.53
148,1987,5,2.831
149,1987,6,4.344
150,1987,7,1.965
151,1987,8,3.371
152,1987,9,5.578
153,1987,10,7.65
154,1987,11,5.717
155,1987,12,1.658
156,1988,1,3.722
157,1988,2,3.17
158,1988,3,6.421
159,1988,4,2.915
160,1988,5,1.296
161,1988,6,2.335
162,1988,7,6.367
163,1988,8,11.832
164,1988,9,6.17
165,1988,10,4.331
166,1988,11,1.858
167,1988,12,1.461
168,1989,1,1.611
169,1989,2,2.536
170,1989,3,3.446
171,1989,4,4.63
172,1989,5,3.435
173,1989,6,5.212
174,1989,7,6.547
175,1989,8,8.73
176,1989,9,3.32
177,1989,10,2.533
178,1989,11,3.754
179,1989,12,3.094
180,1990,1,3.936
181,1990,2,3.251
182,1990,3,1.277
183,1990,4,3.521
184,1990,5,1.233
185,1990,6,4.607
186,1990,7,3.023
187,1990,8,3.69
188,1990,9,4.264
189,1990,10,4.395
190,1990,11,2.928
191,1990,12,4.121
192,1991,1,2.822
193,1991,2,1.998
194,1991,3,3.129
195,1991,4,1.582
196,1991,5,0.166
197,1991,6,4.458
198,1991,7,2.347
199,1991,8,1.706
200,1991,9,4.383
201,1991,10,4.021
202,1991,11,5.426
203,1991,12,1.426
204,1992,1,1.692
