,year,month,value
0,1975,1,2.558
1,1975,2,2.978
2,1975,3,0.892
3,1975,4,3.197
4,1975,5,3.298
5,1975,6,3.838
6,1975,7,1.538
7,1975,8,3.809
8,1975,9,2.144
9,1975,10,2.815
10,1975,11,3.267
11,1975,12,3.154
12,1976,1,3.716
13,1976,2,4.319
14,1976,3,3.356
15,1976,4,2.185
16,1976,5,3.37
17,1976,6,2.773
18,1976,7,2.191
19,1976,8,2.922
20,1976,9,2.003
21,1976,10,2.888
22,1976,11,3.293
23,1976,12,4.395
24,1977,1,4.129
25,1977,2,2.866
26,1977,3,2.143
27,1977,4,3.228
28,1977,5,3.647
29,1977,6,4.049
30,1977,7,3.763
31,1977,8,2.6
32,1977,9,2.181
33,1977,10,2.079
34,1977,11,4.689
35,1977,12,2.897
36,1978,1,2.511
37,1978,2,5.442
38,1978,3,4.467
39,1978,4,1.818
40,1978,5,4.623
41,1978,6,2.102
42,1978,7,2.215
43,1978,8,2.719
44,1978,9,2.146
45,1978,10,2.007
46,1978,11,4.798
47,1978,12,4.342
48,1979,1,4.724
49,1979,2,3.895
50,1979,3,3.995
51,1979,4,1.34
52,1979,5,3.149
53,1979,6,2.88
54,1979,7,1.623
55,1979,8,1.78
56,1979,9,2.556
57,1979,10,3.799
58,1979,11,2.463
59,1979,12,5.274
60,1980,1,3.528
61,1980,2,5.846
62,1980,3,2.761
63,1980,4,2.658
64,1980,5,3.385
65,1980,6,3.061
66,1980,7,2.413
67,1980,8,2.544
68,1980,9,1.914
69,1980,10,3.836
70,1980,11,3.519
71,1980,12,3.406
72,1981,1,4.467
73,1981,2,3.942
74,1981,3,3.607
75,1981,4,1.869
76,1981,5,4.986
77,1981,6,1.979
78,1981,7,1.891
79,1981,8,1.994
80,1981,9,2.115
81,1981,10,3.727
82,1981,11,2.361
83,1981,12,4.96
84,1982,1,5.207
85,1982,2,3.248
86,1982,3,1.703
87,1982,4,2.696
88,1982,5,3.412
89,1982,6,2.842
90,1982,7,2.35
91,1982,8,4.685
92,1982,9,2.142
93,1982,10,2.721
94,1982,11,2.981
95,1982,12,2.77
96,1983,1,3.52
97,1983,2,2.451
98,1983,3,1.374
99,1983,4,2.852
100,1983,5,1.586
101,1983,6,2.533
102,1983,7,3.525
103,1983,8,1.895
104,1983,9,3.007
105,1983,10,2.332
106,1983,11,4.204
107,1983,12,3.638
108,1984,1,5.025
109,1984,2,2.182
110,1984,3,2.03
111,1984,4,2.976
112,1984,5,3.851
113,1984,6,2.596
114,1984,7,1.285
115,1984,8,1.692
116,1984,9,1.452
117,1984,10,2.183
118,1984,11,2.993
119,1984,12,3.041
120,1985,1,4.049
121,1985,2,5.913
122,1985,3,2.131
123,1985,4,2.29
124,1985,5,4.041
125,1985,6,2.7
126,1985,7,1.71
127,1985,8,1.567
128,1985,9,2.591
129,1985,10,3.817
130,1985,11,3.806
131,1985,12,6.322
132,1986,1,4.354
