,year,month,value
0,1975,1,1.569
1,1975,2,0.599
2,1975,3,1.64
3,1975,4,1.565
4,1975,5,1.273
5,1975,6,1.619
6,1975,7,1.073
7,1975,8,1.035
8,1975,9,1.603
9,1975,10,1.461
10,1975,11,1.358
11,1975,12,1.609
12,1976,1,2.397
13,1976,2,1.607
14,1976,3,1.366
15,1976,4,1.624
16,1976,5,1.277
17,1976,6,1.542
18,1976,7,1.057
19,1976,8,1.432
20,1976,9,1.457
21,1976,10,1.793
22,1976,11,1.827
23,1976,12,2.139
24,1977,1,2.565
25,1977,2,1.943
26,1977,3,1.844
27,1977,4,2.163
28,1977,5,1.794
29,1977,6,1.249
30,1977,7,1.561
31,1977,8,1.339
32,1977,9,1.888
33,1977,10,1.629
34,1977,11,2.773
35,1977,12,2.265
36,1978,1,1.848
37,1978,2,2.491
38,1978,3,2.353
39,1978,4,1.449
40,1978,5,1.088
41,1978,6,1.611
42,1978,7,1.078
43,1978,8,1.19
44,1978,9,2.23
45,1978,10,1.598
46,1978,11,2.29
47,1978,12,2.513
48,1979,1,1.749
49,1979,2,2.446
50,1979,3,1.742
51,1979,4,1.494
52,1979,5,1.096
53,1979,6,1.462
54,1979,7,1.145
55,1979,8,1.627
56,1979,9,1.3
57,1979,10,1.45
58,1979,11,2.279
59,1979,12,2.236
60,1980,1,1.995
61,1980,2,1.529
62,1980,3,1.997
63,1980,4,2.173
64,1980,5,1.065
65,1980,6,1.284
66,1980,7,0.944
67,1980,8,1.362
68,1980,9,1.269
69,1980,10,1.926
70,1980,11,1.992
71,1980,12,2.138
72,1981,1,1.588
73,1981,2,1.729
74,1981,3,1.351
75,1981,4,1.704
76,1981,5,1.498
77,1981,6,1.891
78,1981,7,1.16
79,1981,8,1.145
80,1981,9,1.213
81,1981,10,1.445
82,1981,11,2.019
83,1981,12,2.953
84,1982,1,1.865
85,1982,2,1.128
86,1982,3,1.285
87,1982,4,1.861
88,1982,5,1.602
89,1982,6,1.246
90,1982,7,0.897
91,1982,8,1.177
92,1982,9,1.183
93,1982,10,2.524
94,1982,11,1.356
95,1982,12,2.211
96,1983,1,1.611
97,1983,2,2.555
98,1983,3,1.533
99,1983,4,1.365
100,1983,5,1.366
101,1983,6,0.932
102,1983,7,1.083
103,1983,8,0.947
104,1983,9,1.222
105,1983,10,1.509
106,1983,11,1.502
107,1983,12,2.171
108,1984,1,2.444
109,1984,2,1.272
110,1984,3,1.658
111,1984,4,1.564
112,1984,5,1.387
113,1984,6,1.529
114,1984,7,0.802
115,1984,8,1.127
116,1984,9,1.661
117,1984,10,1.116
118,1984,11,1.847
119,1984,12,1.291
120,1985,1,2.33
121,1985,2,0.777
122,1985,3,1.537
123,1985,4,1.529
124,1985,5,1.337
125,1985,6,1.162
126,1985,7,0.955
127,1985,8,1.294
128,1985,9,1.913
129,1985,10,1.43
130,1985,11,1.722
131,1985,12,1.59
132,1986,1,2.26
133,1986,2,2.199
134,1986,3,1.378
135,1986,4,1.431
136,1986,5,1.245
137,1986,6,1.062
138,1986,7,1.126
139,1986,8,1.561
140,1986,9,0.743
141,1986,10,1.336
142,1986,11,1.249
143,1986,12,1.725
144,1987,1,2.371
145,1987,2,1.784
146,1987,3,0.844
147,1987,4,1.308
148,1987,5,1.535
149,1987,6,1.362
150,1987,7,1.134
151,1987,8,1.554
152,1987,9,0.908
153,1987,10,1.751
154,1987,11,1.67
155,1987,12,0.971
156,1988,1,2.055
157,1988,2,2.002
158,1988,3,1.568
159,1988,4,1.437
160,1988,5,0.947
161,1988,6,1.227
162,1988,7,1.25
163,1988,8,1.297
164,1988,9,1.572
165,1988,10,1.401
166,1988,11,1.385
167,1988,12,1.261
168,1989,1,1.828
169,1989,2,1.624
170,1989,3,0.975
171,1989,4,1.22
172,1989,5,1.06
173,1989,6,1.575
174,1989,7,1.396
175,1989,8,1.361
176,1989,9,1.196
177,1989,10,1.617
178,1989,11,1.549
179,1989,12,1.544
180,1990,1,1.469
181,1990,2,1.248
182,1990,3,1.673
183,1990,4,1.177
184,1990,5,1.287
185,1990,6,1.225
186,1990,7,1.227
187,1990,8,1.101
188,1990,9,1.618
189,1990,10,1.566
190,1990,11,1.548
191,1990,12,1.964
192,1991,1,1.462
193,1991,2,1.842
194,1991,3,1.028
195,1991,4,1.59
196,1991,5,1.734
197,1991,6,0.979
198,1991,7,0.937
199,1991,8,0.892
200,1991,9,1.201
201,1991,10,1.507
202,1991,11,1.348
203,1991,12,1.217
204,1992,1,1.392
205,1992,2,1.819
206,1992,3,1.585
207,1992,4,1.897
208,1992,5,1.112
209,1992,6,1.09
210,1992,7,1.051
211,1992,8,1.011
212,1992,9,1.017
213,1992,10,1.953
214,1992,11,1.152
215,1992,12,1.692
216,1993,1,1.794
217,1993,2,2.04
218,1993,3,1.383
219,1993,4,1.482
220,1993,5,1.225
221,1993,6,1.048
222,1993,7,1.454
223,1993,8,0.975
224,1993,9,1.808
225,1993,10,1.893
226,1993,11,1.718
227,1993,12,2.538
228,1994,1,1.817
229,1994,2,1.838
230,1994,3,1.18
231,1994,4,1.583
232,1994,5,1.335
233,1994,6,1.202
234,1994,7,0.906
235,1994,8,1.44
236,1994,9,2.406
237,1994,10,1.227
238,1994,11,1.267
239,1994,12,1.484
240,1995,1,2.083
241,1995,2,1.615
242,1995,3,1.69
243,1995,4,1.869
244,1995,5,1.412
245,1995,6,1.528
246,1995,7,0.936
247,1995,8,0.919
248,1995,9,1.581
249,1995,10,1.147
250,1995,11,2.093
251,1995,12,1.364
252,1996,1,1.342
253,1996,2,1.519
254,1996,3,1.577
255,1996,4,1.353
256,1996,5,1.869
257,1996,6,1.045
258,1996,7,0.987
259,1996,8,1.176
