,year,month,value
0,1975,1,2.5580076672688947
1,1975,2,2.9779080758036347
2,1975,3,0.8917151529375815
3,1975,4,3.1974850929347944
4,1975,5,3.298180501982254
5,1975,6,3.8383878470482644
6,1975,7,1.5377699955259196
7,1975,8,3.808564909078834
8,1975,9,2.1436728606140756
9,1975,10,2.8147757220765213
10,1975,11,3.266541019164623
11,1975,12,3.154218032706278
12,1976,1,3.7162972958844196
13,1976,2,4.3190215378410635
14,1976,3,3.3560577551517166
15,1976,4,2.1854140300544023
16,1976,5,3.3696789994211294
17,1976,6,2.7727035646587366
18,1976,7,2.191223942364493
19,1976,8,2.9219488267655462
20,1976,9,2.003255970353919
21,1976,10,2.887579073068962
22,1976,11,3.293392898153695
23,1976,12,4.395260154752729
24,1977,1,4.128956232499016
25,1977,2,2.8664422900376705
26,1977,3,2.143299135164221
27,1977,4,3.2283945869728194
28,1977,5,3.646501490234108
29,1977,6,4.049115129671337
30,1977,7,3.7628175213428476
31,1977,8,2.6004290382157516
32,1977,9,2.181336719779289
33,1977,10,2.079139865580275
34,1977,11,4.6893202213040475
35,1977,12,2.8966007144452495
36,1978,1,2.510656856175763
37,1978,2,5.441804611878529
38,1978,3,4.467026145059503
39,1978,4,1.8181840125378605
40,1978,5,4.623028495815084
41,1978,6,2.1016202014789362
42,1978,7,2.214802352889664
43,1978,8,2.71922071379331
44,1978,9,2.146124547809992
45,1978,10,2.0071297647319963
46,1978,11,4.797797626928998
47,1978,12,4.341608517143046
48,1979,1,4.723723585914933
49,1979,2,3.8946748341154316
50,1979,3,3.9953662676784996
51,1979,4,1.3402092819930138
52,1979,5,3.149229296397823
53,1979,6,2.880495746764163
54,1979,7,1.6226206733128872
55,1979,8,1.7800447016254806
56,1979,9,2.5560251109517873
57,1979,10,3.7990809584730174
58,1979,11,2.4630347601861122
59,1979,12,5.2736482240852816
60,1980,1,3.527528453357579
61,1980,2,5.845861341802951
62,1980,3,2.761393796423236
63,1980,4,2.658119744238894
64,1980,5,3.3849802655036947
65,1980,6,3.06093526763368
66,1980,7,2.413114928036786
67,1980,8,2.544084430870533
68,1980,9,1.9144407364380176
69,1980,10,3.8361817374285905
70,1980,11,3.51865676108069
71,1980,12,3.405753354836268
72,1981,1,4.467109190083564
73,1981,2,3.941951061923927
74,1981,3,3.6071084240421305
75,1981,4,1.8694311938409893
76,1981,5,4.986364202200762
77,1981,6,1.979217452463961
78,1981,7,1.8913441769542962
79,1981,8,1.9944021121494613
80,1981,9,2.115015420720391
81,1981,10,3.7265957828871463
82,1981,11,2.361266098136103
83,1981,12,4.9602267551358565
84,1982,1,5.207140465548917
85,1982,2,3.247923125572653
86,1982,3,1.7031927640164075
87,1982,4,2.6958972660258245
88,1982,5,3.4116459307772895
89,1982,6,2.8421847877673434
90,1982,7,2.349932508754014
91,1982,8,4.685160168708387
92,1982,9,2.141969767003872
93,1982,10,2.7208059368938033
94,1982,11,2.9807987049682216
95,1982,12,2.769925855923192
96,1983,1,3.5204769654858032
97,1983,2,2.45130081005487
98,1983,3,1.3743346386250805
99,1983,4,2.8524445051871585
100,1983,5,1.5856106994854005
101,1983,6,2.5330005831075093
102,1983,7,3.5245902682637857
103,1983,8,1.8953196456375876
104,1983,9,3.0071562157206144
105,1983,10,2.331679905732281
106,1983,11,4.203641347060028
107,1983,12,3.637876463170557
108,1984,1,5.024960814055737
109,1984,2,2.182294122126525
110,1984,3,2.0298763138335216
111,1984,4,2.9761407549212873
112,1984,5,3.8506569750868422
113,1984,6,2.596115577541574
114,1984,7,1.2846655562432778
115,1984,8,1.692280067824765
116,1984,9,1.4523553996513912
117,1984,10,2.1829040044108945
118,1984,11,2.9925390941281043
119,1984,12,3.040939300274997
120,1985,1,4.0490301507015625
121,1985,2,5.913296603382645
122,1985,3,2.1312435160561036
123,1985,4,2.289892834916582
124,1985,5,4.040847882920518
125,1985,6,2.699832370275275
126,1985,7,1.710495746538042
127,1985,8,1.567041250117524
128,1985,9,2.59122968190159
129,1985,10,3.8166253460692294
130,1985,11,3.8062444911535542
131,1985,12,6.322233765446057
132,1986,1,4.353520389862236
133,1986,2,3.617679161178823
134,1986,3,2.1272199030962997
135,1986,4,3.0484705040057554
136,1986,5,1.8681512913337155
137,1986,6,3.3644733665884115
138,1986,7,2.2266506502546752
139,1986,8,2.112180496930341
140,1986,9,2.2697916254556283
141,1986,10,2.072862287880246
142,1986,11,2.412377684350861
143,1986,12,5.388703836012707
144,1987,1,5.23056875132768
145,1987,2,3.072821527986476
146,1987,3,4.954266652544666
147,1987,4,3.4660604023363004
148,1987,5,2.970878368356722
149,1987,6,1.6509393007353863
150,1987,7,2.41356493571744
151,1987,8,1.6187626364350884
152,1987,9,2.122951345130901
153,1987,10,2.0617092814677638
154,1987,11,2.6728547096410935
155,1987,12,3.6044051602365386
156,1988,1,2.04839564810678
157,1988,2,3.0380519831327355
158,1988,3,2.450305006250429
159,1988,4,2.196153900350107
160,1988,5,3.8333665262705026
161,1988,6,3.7000314537339674
162,1988,7,1.632163285105788
163,1988,8,1.9396901426419553
164,1988,9,1.63746457362749
165,1988,10,3.4043354711308926
166,1988,11,3.223414695451172
167,1988,12,4.404388695942519
168,1989,1,2.5333888646998006
169,1989,2,1.7555232190110082
170,1989,3,1.6640086331455124
171,1989,4,3.7417192096251903
172,1989,5,2.6325046334548574
173,1989,6,3.9842736830706293
174,1989,7,2.9377547933424344
175,1989,8,1.8508803485142236
176,1989,9,2.0432289354741
177,1989,10,2.236828832478348
178,1989,11,4.13276402734866
179,1989,12,4.074620504791153
180,1990,1,3.152717721626544
181,1990,2,2.5302371168973212
182,1990,3,2.891839649624402
183,1990,4,3.4358944526360484
184,1990,5,2.7169183206880403
185,1990,6,1.5926384167276586
186,1990,7,2.5085252489722283
187,1990,8,1.948540948493767
188,1990,9,2.7013598108334644
189,1990,10,3.797489266763344
190,1990,11,3.6282341894278725
191,1990,12,3.1122710651220116
192,1991,1,3.848681522595185
193,1991,2,4.179565352329298
194,1991,3,2.4531853333105293
195,1991,4,2.2302060365619227
196,1991,5,2.258838077943081
197,1991,6,1.5050766582225765
198,1991,7,2.608141718888461
199,1991,8,2.015185628739836
200,1991,9,3.3748226858487747
201,1991,10,2.5190532015537244
202,1991,11,3.5086629244259675
203,1991,12,2.6144963946904696
204,1992,1,3.1889392175664515
205,1992,2,3.134021952070392
206,1992,3,1.8815544934516133
207,1992,4,2.763360439671276
208,1992,5,5.292965000321055
209,1992,6,2.365606043706979
210,1992,7,1.5873813561625558
211,1992,8,0.9760547093779752
212,1992,9,1.4761368110908526
213,1992,10,3.8021640696981005
214,1992,11,1.6284830046861785
215,1992,12,4.1292823974971204
216,1993,1,3.5472418484200925
217,1993,2,2.6483198227551528
218,1993,3,3.3932776681747305
219,1993,4,4.670061162808022
220,1993,5,3.6757846064640782
221,1993,6,2.4004884560410216
222,1993,7,1.6302631887263261
223,1993,8,1.3665886418849789
224,1993,9,2.2354484751515686
225,1993,10,3.6182222510598363
226,1993,11,2.912231438952438
227,1993,12,3.7140542436441586
228,1994,1,3.6097247683481086
229,1994,2,2.7508073610425976
230,1994,3,3.5636682200782523
231,1994,4,2.737680871052018
232,1994,5,2.3835716852015643
233,1994,6,1.9580815440970105
234,1994,7,1.8148965431576503
235,1994,8,3.493182299944448
236,1994,9,2.8039053224870583
237,1994,10,2.988539039630878
238,1994,11,2.3456887575137575
239,1994,12,2.3945345474485706
240,1995,1,4.07592063615793
241,1995,2,2.8406598784390833
242,1995,3,1.9655405013292377
243,1995,4,2.7737604666655664
244,1995,5,3.734545934023751
245,1995,6,3.1539776017980334
246,1995,7,2.424924342018968
247,1995,8,3.4904031254992054
248,1995,9,2.8318914519102414
249,1995,10,3.009250969568584
250,1995,11,3.23499009574067
251,1995,12,5.611044696012069
252,1996,1,4.9638835386163365
253,1996,2,3.5767422293715065
254,1996,3,1.2855022866694006
255,1996,4,3.0180629587516075
256,1996,5,3.4928021224608
257,1996,6,1.9291502506687161
258,1996,7,2.157457683458468
259,1996,8,1.6762605592107656
260,1996,9,2.596906315944629
261,1996,10,1.8249200895747004
262,1996,11,4.208913639288469
263,1996,12,4.908664711233782
264,1997,1,5.744384354559087
265,1997,2,4.552689768365963
266,1997,3,3.2563114894200513
267,1997,4,2.3132706854944183
268,1997,5,2.8291322428108283
269,1997,6,2.318596112097682
270,1997,7,1.6179088454724708
271,1997,8,1.790565177789957
272,1997,9,2.761530164704834
273,1997,10,3.744270892460778
274,1997,11,3.1695502599855887
275,1997,12,2.9973536715339533
276,1998,1,3.537451698063032
277,1998,2,4.804672480565418
278,1998,3,3.808038328848397
279,1998,4,3.701535872592883
280,1998,5,3.063727261226559
281,1998,6,1.697611574380684
282,1998,7,1.2612611029808511
283,1998,8,1.4896272175654643
284,1998,9,2.324929859280644
285,1998,10,2.183018527743894
286,1998,11,2.486726255795834
287,1998,12,3.0280108094862523
288,1999,1,4.770904763046996
289,1999,2,3.9152057390175528
290,1999,3,2.3862712173138756
291,1999,4,3.032659865871701
292,1999,5,4.011979373653815
293,1999,6,1.472491047530501
294,1999,7,1.9158787534312975
295,1999,8,2.353179043953779
296,1999,9,2.040255787434733
297,1999,10,1.6895138322154433
298,1999,11,3.2917106791761483
299,1999,12,4.142087936429921
300,2000,1,3.6410790968128275
301,2000,2,3.5448307608618927
302,2000,3,1.9511011503570825
303,2000,4,4.476593018967803
304,2000,5,2.4752245472158245
305,2000,6,2.030503731170876
306,2000,7,1.953615341674457
307,2000,8,1.409606061036853
308,2000,9,1.5070943345833843
309,2000,10,2.584587278048365
310,2000,11,1.0437774017326755
311,2000,12,5.09138794267297
312,2001,1,4.530670272518137
313,2001,2,6.08334637963376
314,2001,3,3.7300357460306826
315,2001,4,2.0906916031089673
316,2001,5,2.7684095430137243
317,2001,6,2.996329651308472
318,2001,7,2.4195374124659814
319,2001,8,1.3958251885494997
320,2001,9,2.5598182631253126
321,2001,10,2.7419118594807697
322,2001,11,2.4111218593612507
323,2001,12,4.580661195640571
324,2002,1,4.41012825015279
325,2002,2,2.7115493725912496
326,2002,3,2.175652170175968
327,2002,4,1.542877592152993
328,2002,5,2.3729637564124983
329,2002,6,2.437818060592653
330,2002,7,2.0506044217799926
331,2002,8,1.3263418849221809
332,2002,9,3.904213756631579
333,2002,10,3.283186231080563
334,2002,11,2.625159546328215
335,2002,12,3.5759320914386286
336,2003,1,6.58734164078903
337,2003,2,2.5900112101655215
338,2003,3,3.3722531633685895
339,2003,4,3.3806685049306266
340,2003,5,2.6975835462960758
341,2003,6,1.572856139887437
342,2003,7,2.395744435003336
343,2003,8,3.036317803928243
344,2003,9,3.0509109248328397
345,2003,10,3.51413505165785
346,2003,11,2.0916644914583187
347,2003,12,3.662410041465586
348,2004,1,3.738523657780561
349,2004,2,2.766552290551306
350,2004,3,3.4659720664759255
351,2004,4,2.4802095990404553
352,2004,5,3.103511711954147
353,2004,6,1.9880562909766801
354,2004,7,1.592710207932256
355,2004,8,3.7964499546371635
356,2004,9,2.126472444559596
357,2004,10,2.338834145742344
358,2004,11,4.171330722922843
359,2004,12,2.8108181948911573
360,2005,1,2.876263630670575
361,2005,2,2.870398894720874
362,2005,3,4.671326398634616
363,2005,4,1.8644658105260847
364,2005,5,1.9794305143879944
365,2005,6,2.8860166240032283
366,2005,7,2.862308828193944
367,2005,8,1.9889668793903605
368,2005,9,2.1343226872554526
369,2005,10,4.093153213087247
370,2005,11,4.646428612447921
371,2005,12,2.360543722676338
372,2006,1,3.251479398607639
373,2006,2,3.3638385890095934
374,2006,3,3.855320998308702
375,2006,4,2.245544758932188
376,2006,5,3.433635021717596
377,2006,6,2.2296467685809955
378,2006,7,2.1152556468694046
379,2006,8,1.9485216342498706
380,2006,9,1.1016132370927332
381,2006,10,3.319471715969016
382,2006,11,3.1090159029920494
383,2006,12,3.5657322160475178
384,2007,1,4.454630308206922
385,2007,2,4.230358831891315
386,2007,3,2.1857677473055754
387,2007,4,3.0748404313331315
388,2007,5,1.659036836784057
389,2007,6,3.670104840495689
390,2007,7,1.2678065046896274
391,2007,8,3.0430636797707327
392,2007,9,2.2861627741447146
393,2007,10,2.5197136720761173
394,2007,11,2.265252263235147
395,2007,12,5.027315173078207
396,2008,1,1.8959818859440503
397,2008,2,2.4640506420328423
398,2008,3,3.025412972788009
399,2008,4,3.3307328937030363
400,2008,5,3.5831107707826906
401,2008,6,3.6415782229718747
402,2008,7,3.4608688075721394
403,2008,8,1.5478306011616616
404,2008,9,1.9963825042932717
405,2008,10,2.8380432074427318
406,2008,11,2.085197556725672
407,2008,12,2.854650987084851
408,2009,1,3.745791186505626
409,2009,2,2.98581024693262
410,2009,3,1.7349134650416416
411,2009,4,2.646231325845315
412,2009,5,2.3766561854117474
413,2009,6,4.642705624659116
414,2009,7,2.9360523200049524
415,2009,8,1.7793106071057814
416,2009,9,2.1125487139863828
417,2009,10,1.8069028334313846
418,2009,11,2.160545509021211
419,2009,12,5.433153404237589
420,2010,1,4.735785182028697
421,2010,2,3.794938846221484
422,2010,3,2.949256330539244
423,2010,4,1.907730793799061
424,2010,5,3.9367096407658675
425,2010,6,1.757127521393021
426,2010,7,1.3402595640116632
427,2010,8,2.4687705355073493
428,2010,9,2.379501179253535
429,2010,10,3.4147277477710944
430,2010,11,4.539788655266097
431,2010,12,3.420573428629352
432,2011,1,2.9644334351436954
433,2011,2,4.530594118742383
434,2011,3,2.689012889998976
435,2011,4,3.370929218050039
436,2011,5,2.413447986345614
437,2011,6,1.9349841841998217
438,2011,7,1.8118575984301992
439,2011,8,2.4860600603476803
440,2011,9,1.8688892761308202
441,2011,10,2.8867252719472507
442,2011,11,3.3664030567105128
443,2011,12,2.996690827225674
444,2012,1,2.600118897198721
445,2012,2,4.968946052921816
446,2012,3,3.640099254229912
447,2012,4,2.490054354759183
448,2012,5,4.917828002082274
449,2012,6,2.1593581421818135
450,2012,7,1.6555007688608683
451,2012,8,1.5141518794290396
452,2012,9,2.7618209884809324
453,2012,10,3.389012131256902
454,2012,11,2.7897513587555007
455,2012,12,4.113686178902642
456,2013,1,5.161419118016668
457,2013,2,2.596087308271683
458,2013,3,2.9416822778226606
459,2013,4,2.3984579576704372
460,2013,5,4.577721295367873
461,2013,6,1.6513569829257009
462,2013,7,2.108612650969343
463,2013,8,1.2128057756550987
464,2013,9,3.7033163143509533
465,2013,10,2.8202074201152505
466,2013,11,3.4332573086103584
467,2013,12,2.662472171594687
468,2014,1,4.713770150554444
469,2014,2,1.8699482209960652
470,2014,3,1.7028186626442234
471,2014,4,3.4839781067446247
472,2014,5,4.8801628299998185
473,2014,6,2.492226996543222
474,2014,7,2.872564887388632
475,2014,8,2.4984242345754626
476,2014,9,2.4004094478320526
477,2014,10,2.984414713607293
478,2014,11,2.998640017411724
479,2014,12,4.010496309082117
480,2015,1,2.29457869724476
481,2015,2,3.0177665056361938
482,2015,3,1.8718773280273455
483,2015,4,2.711397824171057
484,2015,5,1.2160707039433385
485,2015,6,1.9985375400153418
486,2015,7,2.161128986114353
487,2015,8,1.3695556928065844
488,2015,9,1.6896098985255164
489,2015,10,2.350196743079778
490,2015,11,3.633196638786835
491,2015,12,4.024018614078669
492,2016,1,5.4825662110059845
493,2016,2,2.484218662785549
494,2016,3,2.3046143520832194
495,2016,4,1.4762107830056213
496,2016,5,3.1140722914793
497,2016,6,2.5002390690289698
498,2016,7,2.1276103511807833
499,2016,8,1.8654642824903702
500,2016,9,1.9037591367015705
501,2016,10,2.0321316738304493
502,2016,11,3.3022806469566404
503,2016,12,2.4608067564262575
504,2017,1,2.7618892552136334
505,2017,2,2.6709706091061722
506,2017,3,3.133500052759719
507,2017,4,2.501760874117342
508,2017,5,4.138753383555545
509,2017,6,2.015418298899816
510,2017,7,1.591822178970492
511,2017,8,0.9975265108181073
512,2017,9,1.0960495940620933
513,2017,10,2.5565549315982965
514,2017,11,2.6238675718265125
515,2017,12,2.5484097930117677
516,2018,1,2.122237609957537
517,2018,2,3.1119345919800288
518,2018,3,3.343403873654153
519,2018,4,3.2751344624498153
520,2018,5,4.66204302439288
521,2018,6,3.505699792407038
522,2018,7,1.631253888060294
523,2018,8,2.5885116327956244
524,2018,9,3.0466469226453476
525,2018,10,3.8911168477161717
526,2018,11,4.810484239729889
527,2018,12,3.4254181127727787
528,2019,1,3.5150865328371834
529,2019,2,2.977834783865619
530,2019,3,3.213172652476623
531,2019,4,4.704573771109993
532,2019,5,3.9900447352438695
533,2019,6,2.2091170806143503
534,2019,7,3.3817179257046655
535,2019,8,1.6042349866753047
536,2019,9,1.6549820292804935
537,2019,10,2.3746352294864734
538,2019,11,2.4710908987499947
539,2019,12,2.878941897922378
540,2020,1,1.765076378986449
541,2020,2,2.718661562176354
542,2020,3,2.0855042452580257
543,2020,4,3.0685749622341922
544,2020,5,3.5452315392180904
545,2020,6,3.7770617419230574
546,2020,7,1.5484261867825595
547,2020,8,2.86274738330946
548,2020,9,1.5429669881228116
549,2020,10,2.8740066072461685
550,2020,11,3.5939480580106
551,2020,12,1.7137040611480743
