,year,month,value
0,1975,1,1.5686238061311228
1,1975,2,0.5992058236095665
2,1975,3,1.6402202841829392
3,1975,4,1.5647150965378116
4,1975,5,1.273104747821141
5,1975,6,1.6185313336975964
6,1975,7,1.0733426834562356
7,1975,8,1.0352289238285333
8,1975,9,1.6031613882518527
9,1975,10,1.4610719293709327
10,1975,11,1.3579269189619076
11,1975,12,1.6088130935234437
12,1976,1,2.3973192914057644
13,1976,2,1.6067974450927693
14,1976,3,1.3656145963654795
15,1976,4,1.6235338213186437
16,1976,5,1.277329202857712
17,1976,6,1.542262854588568
18,1976,7,1.0569992014320337
19,1976,8,1.4317220250416094
20,1976,9,1.4573476143204536
21,1976,10,1.7928651905254473
22,1976,11,1.826950225495151
23,1976,12,2.138801794996341
24,1977,1,2.56538160820158
25,1977,2,1.9433341501264314
26,1977,3,1.844439478336796
27,1977,4,2.1625230049935737
28,1977,5,1.7940822675662615
29,1977,6,1.248654448209945
30,1977,7,1.5608517112513054
31,1977,8,1.3386239122676031
32,1977,9,1.8876519501903608
33,1977,10,1.6291893887808528
34,1977,11,2.7731657497996887
35,1977,12,2.2646702150193305
36,1978,1,1.8478002033222771
37,1978,2,2.49135011526389
38,1978,3,2.35327728465955
39,1978,4,1.4493121634507995
40,1978,5,1.0880484650812163
41,1978,6,1.6111857559666682
42,1978,7,1.0783998500366827
43,1978,8,1.1904368042639797
44,1978,9,2.2298110842096843
45,1978,10,1.5976797692783402
46,1978,11,2.290419828002226
47,1978,12,2.5134562589373615
48,1979,1,1.7492240983466236
49,1979,2,2.4460744925861158
50,1979,3,1.7423874363914083
51,1979,4,1.493776360802364
52,1979,5,1.095651227765125
53,1979,6,1.4620447026830874
54,1979,7,1.1454538472278277
55,1979,8,1.6272676485446398
56,1979,9,1.2995180362106493
57,1979,10,1.4503837089631852
58,1979,11,2.279314779066061
59,1979,12,2.23555338221461
60,1980,1,1.9949560051203112
61,1980,2,1.5289891699333253
62,1980,3,1.99694390162482
63,1980,4,2.173095678424263
64,1980,5,1.0649246527942868
65,1980,6,1.2841205228643373
66,1980,7,0.9438767005316168
67,1980,8,1.3619641098645514
68,1980,9,1.268613144478973
69,1980,10,1.926024374838781
70,1980,11,1.9919406583045831
71,1980,12,2.137549596984803
72,1981,1,1.5882227844050172
73,1981,2,1.728913014480547
74,1981,3,1.3507305868601518
75,1981,4,1.704223961322228
76,1981,5,1.497632540313695
77,1981,6,1.8905572978758736
78,1981,7,1.1604874763631443
79,1981,8,1.1448247271586942
80,1981,9,1.2132458601789577
81,1981,10,1.444522468253894
82,1981,11,2.0191041600658948
83,1981,12,2.9525094120014233
84,1982,1,1.8654296976807372
85,1982,2,1.1282038447656146
86,1982,3,1.2849082641620093
87,1982,4,1.8607253560304684
88,1982,5,1.6016590860595112
89,1982,6,1.2461250283205523
90,1982,7,0.8970081693685841
91,1982,8,1.1766454961694766
92,1982,9,1.1826766835999745
93,1982,10,2.5241968806876214
94,1982,11,1.356080389574492
95,1982,12,2.2107897678995765
96,1983,1,1.6114376136840356
97,1983,2,2.5554899922576686
98,1983,3,1.532753513560916
99,1983,4,1.3645090902853172
100,1983,5,1.3656145963654793
101,1983,6,0.9317145238875417
102,1983,7,1.0825795557942408
103,1983,8,0.9473449031854225
104,1983,9,1.221625071817026
105,1983,10,1.509104982916154
106,1983,11,1.5022932661339012
107,1983,12,2.1705754650466234
108,1984,1,2.443956777683025
109,1984,2,1.2721340822227465
110,1984,3,1.6582994268971183
111,1984,4,1.5639656344520898
112,1984,5,1.387346814172901
113,1984,6,1.5289580254794963
114,1984,7,0.8021610596329131
115,1984,8,1.1265705882556054
116,1984,9,1.6613109350716093
117,1984,10,1.116388185464698
118,1984,11,1.846777248857195
119,1984,12,1.2913442192045923
120,1985,1,2.3303606255601923
121,1985,2,0.7773921946730776
122,1985,3,1.5368519702608396
123,1985,4,1.529363927581825
124,1985,5,1.337048587273919
125,1985,6,1.162260975303156
126,1985,7,0.9552796134038173
127,1985,8,1.2939561741593728
128,1985,9,1.9134250448603551
129,1985,10,1.4301966178086838
130,1985,11,1.7220143243693802
131,1985,12,1.5895492023421816
132,1986,1,2.2598077756295334
133,1986,2,2.1993144675066656
134,1986,3,1.3782644532983523
135,1986,4,1.4308626125844348
136,1986,5,1.2448517638572452
137,1986,6,1.061792022408614
138,1986,7,1.1257494516796305
139,1986,8,1.560872378077452
140,1986,9,0.7429438183613746
141,1986,10,1.3355116614427078
142,1986,11,1.2489811940091435
143,1986,12,1.725108692227826
144,1987,1,2.3711754718450444
145,1987,2,1.783863591244945
146,1987,3,0.8443487023634225
147,1987,4,1.3083111865758619
148,1987,5,1.5345133374447089
149,1987,6,1.3621357469442787
150,1987,7,1.1344270497404387
151,1987,8,1.553656803275933
152,1987,9,0.9077951057496336
153,1987,10,1.7511839313134192
154,1987,11,1.670367156280801
155,1987,12,0.9714970157508994
156,1988,1,2.0553052254817223
157,1988,2,2.0019141086775343
158,1988,3,1.5683838678682105
159,1988,4,1.437066776298245
160,1988,5,0.9468340000527621
161,1988,6,1.226756306070101
162,1988,7,1.2502988889973297
163,1988,8,1.2971183943774207
164,1988,9,1.5722777971034152
165,1988,10,1.4013894794518331
166,1988,11,1.38491462038175
167,1988,12,1.260952021291849
168,1989,1,1.8280843725381715
169,1989,2,1.6241236953439775
170,1989,3,0.9754293237295043
171,1989,4,1.2197795165379344
172,1989,5,1.0603205033821015
173,1989,6,1.5745241937746175
174,1989,7,1.3956383670610748
175,1989,8,1.3608662642770273
176,1989,9,1.1955088369854674
177,1989,10,1.6171327340604704
178,1989,11,1.549178499395246
179,1989,12,1.544445475877018
180,1990,1,1.4688302711992962
181,1990,2,1.247770498501714
182,1990,3,1.6728958859299314
183,1990,4,1.1770604336090038
184,1990,5,1.2873578844208957
185,1990,6,1.2251389787454234
186,1990,7,1.227148105616547
