,Date,NO2,PM10,Enhet
0,2017-01-01,47.314,52.773,µg/m³
1,2017-01-02,74.908,65.303,µg/m³
2,2017-01-03,66.532,19.585,µg/m³
3,2017-01-04,51.762,27.798,µg/m³
4,2017-01-05,46.45,17.54,µg/m³
5,2017-01-06,42.852,15.849,µg/m³
6,2017-01-07,67.824,20.414,µg/m³
7,2017-01-08,60.871,21.024,µg/m³
8,2017-01-09,60.752,18.934,µg/m³
9,2017-01-10,9.632,4.125,µg/m³
10,2017-01-11,27.765,5.615,µg/m³
11,2017-01-12,27.169,11.28,µg/m³
12,2017-01-13,52.941,17.682,µg/m³
13,2017-01-14,68.747,43.555,µg/m³
14,2017-01-15,63.666,62.338,µg/m³
15,2017-01-16,77.284,32.89,µg/m³
16,2017-01-17,61.081,21.725,µg/m³
17,2017-01-18,58.133,18.613,µg/m³
18,2017-01-19,79.133,23.815,µg/m³
19,2017-01-20,73.419,12.87,µg/m³
20,2017-01-21,72.103,20.405,µg/m³
21,2017-01-22,60.361,13.97,µg/m³
22,2017-01-23,68.374,11.39,µg/m³
23,2017-01-24,83.1,29.508,µg/m³
24,2017-01-25,61.641,14.859,µg/m³
25,2017-01-26,54.655,16.524,µg/m³
26,2017-01-27,46.935,16.587,µg/m³
27,2017-01-28,22.959,9.272,µg/m³
28,2017-01-29,13.911,21.931,µg/m³
29,2017-01-30,60.244,16.193,µg/m³
30,2017-01-31,58.853,27.463,µg/m³
31,2017-02-01,28.117,18.242,µg/m³
32,2017-02-02,16.105,18.069,µg/m³
33,2017-02-03,59.155,48.583,µg/m³
34,2017-02-04,24.266,26.226,µg/m³
35,2017-02-05,41.469,13.846,µg/m³
36,2017-02-06,21.001,12.366,µg/m³
37,2017-02-07,36.122,14.002,µg/m³
38,2017-02-08,60.833,23.181,µg/m³
39,2017-02-09,59.626,27.266,µg/m³
40,2017-02-10,40.074,15.767,µg/m³
41,2017-02-11,46.892,12.613,µg/m³
42,2017-02-12,48.25,19.475,µg/m³
43,2017-02-13,63.393,23.824,µg/m³
44,2017-02-14,74.426,34.522,µg/m³
45,2017-02-15,49.998,20.478,µg/m³
46,2017-02-16,77.511,20.712,µg/m³
47,2017-02-17,76.306,21.598,µg/m³
48,2017-02-18,49.84,20.753,µg/m³
49,2017-02-19,58.65,12.957,µg/m³
50,2017-02-20,50.714,9.025,µg/m³
51,2017-02-21,43.096,25.03,µg/m³
52,2017-02-22,55.313,6.398,µg/m³
53,2017-02-23,72.994,23.903,µg/m³
54,2017-02-24,62.627,49.147,µg/m³
55,2017-02-25,32.196,41.475,µg/m³
56,2017-02-26,57.134,15.991,µg/m³
57,2017-02-27,52.344,10.679,µg/m³
58,2017-02-28,15.824,8.928,µg/m³
59,2017-03-01,54.915,12.71,µg/m³
60,2017-03-02,67.741,17.337,µg/m³
61,2017-03-03,49.707,19.58,µg/m³
62,2017-03-04,35.454,16.757,µg/m³
63,2017-03-05,12.27,9.011,µg/m³
64,2017-03-06,39.806,24.122,µg/m³
65,2017-03-07,64.176,52.943,µg/m³
66,2017-03-08,44.212,63.08,µg/m³
67,2017-03-09,48.222,17.013,µg/m³
68,2017-03-10,71.148,20.405,µg/m³
69,2017-03-11,48.564,32.991,µg/m³
70,2017-03-12,12.686,8.809,µg/m³
71,2017-03-13,24.629,12.618,µg/m³
72,2017-03-14,27.657,13.48,µg/m³
73,2017-03-15,35.084,37.015,µg/m³
74,2017-03-16,28.199,34.196,µg/m³
75,2017-03-17,33.904,21.858,µg/m³
76,2017-03-18,59.945,36.314,µg/m³
77,2017-03-19,25.815,46.695,µg/m³
78,2017-03-20,24.656,14.983,µg/m³
79,2017-03-21,27.308,13.255,µg/m³
80,2017-03-22,50.943,33.435,µg/m³
81,2017-03-23,52.453,51.562,µg/m³
82,2017-03-24,49.14,54.977,µg/m³
83,2017-03-25,45.721,31.836,µg/m³
84,2017-03-26,41.34,43.849,µg/m³
85,2017-03-27,64.65,51.338,µg/m³
86,2017-03-28,64.78,57.047,µg/m³
