,Date,Time,NO2,PM10,unit
0,2017-01-01,00:00,33.656,305.36,µg/m³
1,2017-01-01,01:00,66.924,258.06,µg/m³
2,2017-01-01,02:00,45.079,103.84,µg/m³
3,2017-01-01,03:00,63.75,54.23,µg/m³
4,2017-01-01,04:00,60.041,35.75,µg/m³
5,2017-01-01,05:00,40.123,17.16,µg/m³
6,2017-01-01,06:00,23.946,3.08,µg/m³
7,2017-01-01,07:00,39.286,8.36,µg/m³
8,2017-01-01,08:00,20.97,8.03,µg/m³
9,2017-01-01,09:00,29.915,6.93,µg/m³
10,2017-01-01,10:00,26.949,8.47,µg/m³
11,2017-01-01,11:00,53.854,13.86,µg/m³
12,2017-01-01,12:00,60.636,20.24,µg/m³
13,2017-01-01,13:00,67.903,33.22,µg/m³
14,2017-01-01,14:00,114.729,57.2,µg/m³
15,2017-01-01,15:00,31.942,36.85,µg/m³
16,2017-01-01,16:00,40.508,35.53,µg/m³
17,2017-01-01,17:00,40.724,35.31,µg/m³
18,2017-01-01,18:00,32.197,33.55,µg/m³
19,2017-01-01,19:00,27.517,28.93,µg/m³
20,2017-01-01,20:00,26.227,27.83,µg/m³
21,2017-01-01,21:00,60.804,47.41,µg/m³
22,2017-01-01,22:00,57.581,44.44,µg/m³
23,2017-01-01,23:00,70.276,42.9,µg/m³
24,2017-01-02,00:00,34.506,21.12,µg/m³
25,2017-01-02,01:00,25.788,15.62,µg/m³
26,2017-01-02,02:00,23.667,11.44,µg/m³
27,2017-01-02,03:00,21.343,11.0,µg/m³
28,2017-01-02,04:00,20.54,15.62,µg/m³
29,2017-01-02,05:00,75.31,72.27,µg/m³
30,2017-01-02,06:00,79.284,63.36,µg/m³
31,2017-01-02,07:00,81.965,47.63,µg/m³
32,2017-01-02,08:00,74.739,41.58,µg/m³
33,2017-01-02,09:00,103.989,86.79,µg/m³
34,2017-01-02,10:00,95.902,83.27,µg/m³
35,2017-01-02,11:00,115.056,119.57,µg/m³
36,2017-01-02,12:00,89.352,89.43,µg/m³
37,2017-01-02,13:00,103.049,96.8,µg/m³
38,2017-01-02,14:00,125.743,142.78,µg/m³
39,2017-01-02,15:00,126.227,150.37,µg/m³
40,2017-01-02,16:00,134.932,174.02,µg/m³
41,2017-01-02,17:00,103.46,94.71,µg/m³
42,2017-01-02,18:00,75.65,60.5,µg/m³
43,2017-01-02,19:00,60.234,39.05,µg/m³
44,2017-01-02,20:00,63.984,40.26,µg/m³
45,2017-01-02,21:00,52.182,33.77,µg/m³
46,2017-01-02,22:00,71.996,40.26,µg/m³
47,2017-01-02,23:00,38.886,16.06,µg/m³
48,2017-01-03,00:00,44.653,14.96,µg/m³
49,2017-01-03,01:00,26.145,7.92,µg/m³
50,2017-01-03,02:00,31.085,11.22,µg/m³
51,2017-01-03,03:00,21.912,9.24,µg/m³
52,2017-01-03,04:00,17.225,5.61,µg/m³
53,2017-01-03,05:00,32.001,8.25,µg/m³
54,2017-01-03,06:00,49.94,8.47,µg/m³
55,2017-01-03,07:00,50.251,8.03,µg/m³
56,2017-01-03,08:00,54.785,10.56,µg/m³
57,2017-01-03,09:00,56.749,9.46,µg/m³
58,2017-01-03,10:00,51.25,8.8,µg/m³
59,2017-01-03,11:00,52.581,9.9,µg/m³
60,2017-01-03,12:00,56.82,10.56,µg/m³
61,2017-01-03,13:00,71.825,11.99,µg/m³
62,2017-01-03,14:00,122.003,25.19,µg/m³
63,2017-01-03,15:00,120.484,26.07,µg/m³
64,2017-01-03,16:00,72.336,20.13,µg/m³
65,2017-01-03,17:00,107.889,24.42,µg/m³
66,2017-01-03,18:00,78.64,21.34,µg/m³
67,2017-01-03,19:00,82.556,24.09,µg/m³
68,2017-01-03,20:00,91.147,47.41,µg/m³
69,2017-01-03,21:00,108.168,56.54,µg/m³
70,2017-01-03,22:00,107.517,49.28,µg/m³
71,2017-01-03,23:00,88.805,40.59,µg/m³
72,2017-01-04,00:00,53.218,21.89,µg/m³
73,2017-01-04,01:00,55.411,16.06,µg/m³
74,2017-01-04,02:00,46.451,14.08,µg/m³
75,2017-01-04,03:00,12.105,11.66,µg/m³
76,2017-01-04,04:00,18.307,13.42,µg/m³
77,2017-01-04,05:00,38.192,10.56,µg/m³
78,2017-01-04,06:00,85.109,15.51,µg/m³
79,2017-01-04,07:00,92.539,16.83,µg/m³
80,2017-01-04,08:00,82.403,17.27,µg/m³
81,2017-01-04,09:00,51.126,50.05,µg/m³
82,2017-01-04,10:00,43.675,70.62,µg/m³
83,2017-01-04,11:00,59.183,76.01,µg/m³
84,2017-01-04,12:00,45.556,88.33,µg/m³
85,2017-01-04,13:00,58.437,75.57,µg/m³
86,2017-01-04,14:00,64.227,29.37,µg/m³
87,2017-01-04,15:00,65.638,20.46,µg/m³
88,2017-01-04,16:00,68.276,15.18,µg/m³
89,2017-01-04,17:00,56.13,18.37,µg/m³
90,2017-01-04,18:00,50.321,18.04,µg/m³
91,2017-01-04,19:00,50.31,20.02,µg/m³
92,2017-01-04,20:00,46.206,13.53,µg/m³
93,2017-01-04,21:00,36.156,12.65,µg/m³
94,2017-01-04,22:00,31.442,10.56,µg/m³
95,2017-01-04,23:00,31.874,11.11,µg/m³
96,2017-01-05,00:00,16.946,9.02,µg/m³
97,2017-01-05,01:00,25.912,10.34,µg/m³
98,2017-01-05,02:00,23.97,10.34,µg/m³
99,2017-01-05,03:00,26.116,9.68,µg/m³
100,2017-01-05,04:00,34.937,9.79,µg/m³
101,2017-01-05,05:00,39.419,12.98,µg/m³
102,2017-01-05,06:00,56.721,13.53,µg/m³
103,2017-01-05,07:00,79.927,17.05,µg/m³
104,2017-01-05,08:00,57.053,17.49,µg/m³
105,2017-01-05,09:00,61.272,18.37,µg/m³
106,2017-01-05,10:00,67.725,25.96,µg/m³
107,2017-01-05,11:00,57.669,22.77,µg/m³
108,2017-01-05,14:00,62.043,31.79,µg/m³
109,2017-01-05,15:00,63.76,22.55,µg/m³
110,2017-01-05,16:00,58.987,20.02,µg/m³
111,2017-01-05,17:00,48.811,21.23,µg/m³
112,2017-01-05,18:00,44.984,23.65,µg/m³
113,2017-01-05,19:00,53.253,21.56,µg/m³
114,2017-01-05,20:00,52.385,19.03,µg/m³
115,2017-01-05,21:00,30.715,16.83,µg/m³
116,2017-01-05,22:00,34.951,17.93,µg/m³
117,2017-01-05,23:00,24.354,13.97,µg/m³
118,2017-01-06,00:00,20.507,13.31,µg/m³
119,2017-01-06,01:00,22.092,10.89,µg/m³
120,2017-01-06,02:00,65.379,10.67,µg/m³
121,2017-01-06,03:00,64.878,11.0,µg/m³
122,2017-01-06,04:00,69.968,32.56,µg/m³
123,2017-01-06,05:00,57.788,44.44,µg/m³
124,2017-01-06,06:00,57.383,38.61,µg/m³
125,2017-01-06,07:00,52.291,14.96,µg/m³
126,2017-01-06,08:00,66.743,11.11,µg/m³
127,2017-01-06,09:00,105.248,10.34,µg/m³
128,2017-01-06,10:00,108.714,14.85,µg/m³
129,2017-01-06,11:00,52.506,30.8,µg/m³
130,2017-01-06,12:00,59.123,32.56,µg/m³
131,2017-01-06,13:00,39.474,11.99,µg/m³
132,2017-01-06,14:00,21.969,16.17,µg/m³
133,2017-01-06,15:00,20.665,15.4,µg/m³
134,2017-01-06,16:00,31.529,8.25,µg/m³
135,2017-01-06,17:00,37.696,6.71,µg/m³
136,2017-01-06,18:00,30.446,9.46,µg/m³
137,2017-01-06,19:00,13.846,9.35,µg/m³
138,2017-01-06,20:00,10.009,9.24,µg/m³
139,2017-01-06,21:00,7.029,5.28,µg/m³
140,2017-01-06,22:00,7.014,5.61,µg/m³
141,2017-01-06,23:00,6.162,6.82,µg/m³
142,2017-01-07,00:00,5.308,6.82,µg/m³
143,2017-01-07,01:00,4.873,4.51,µg/m³
144,2017-01-07,02:00,4.87,5.39,µg/m³
145,2017-01-07,03:00,9.543,3.74,µg/m³
146,2017-01-07,04:00,10.384,2.97,µg/m³
147,2017-01-07,05:00,27.226,5.06,µg/m³
148,2017-01-07,06:00,44.292,4.4,µg/m³
149,2017-01-07,07:00,52.463,7.26,µg/m³
150,2017-01-07,08:00,51.666,13.09,µg/m³
151,2017-01-07,09:00,90.621,17.05,µg/m³
152,2017-01-07,10:00,88.773,15.51,µg/m³
153,2017-01-07,11:00,103.949,25.3,µg/m³
154,2017-01-07,12:00,129.256,24.53,µg/m³
155,2017-01-07,13:00,126.649,25.41,µg/m³
156,2017-01-07,14:00,142.335,34.76,µg/m³
157,2017-01-07,15:00,100.326,35.97,µg/m³
158,2017-01-07,16:00,106.142,33.11,µg/m³
159,2017-01-07,17:00,69.004,27.5,µg/m³
160,2017-01-07,18:00,81.723,31.24,µg/m³
161,2017-01-07,19:00,92.928,31.9,µg/m³
162,2017-01-07,20:00,98.222,31.9,µg/m³
163,2017-01-07,21:00,61.501,33.11,µg/m³
164,2017-01-07,22:00,56.27,39.16,µg/m³
165,2017-01-07,23:00,69.444,30.25,µg/m³
166,2017-01-08,00:00,51.979,24.53,µg/m³
167,2017-01-08,01:00,40.32,28.49,µg/m³
168,2017-01-08,02:00,52.012,26.07,µg/m³
169,2017-01-08,03:00,47.677,14.96,µg/m³
170,2017-01-08,04:00,43.248,14.96,µg/m³
171,2017-01-08,05:00,47.175,16.83,µg/m³
172,2017-01-08,06:00,35.457,15.07,µg/m³
173,2017-01-08,07:00,32.421,14.85,µg/m³
174,2017-01-08,08:00,23.429,13.09,µg/m³
175,2017-01-08,09:00,37.11,12.87,µg/m³
176,2017-01-08,10:00,34.31,12.98,µg/m³
177,2017-01-08,11:00,27.251,16.72,µg/m³
178,2017-01-08,12:00,52.261,16.5,µg/m³
179,2017-01-08,13:00,72.37,13.64,µg/m³
180,2017-01-08,14:00,97.147,14.74,µg/m³
181,2017-01-08,15:00,86.763,17.49,µg/m³
182,2017-01-08,16:00,102.67,18.81,µg/m³
183,2017-01-08,17:00,103.031,22.0,µg/m³
184,2017-01-08,18:00,119.036,26.84,µg/m³
185,2017-01-08,19:00,80.605,31.46,µg/m³
186,2017-01-08,20:00,70.513,32.78,µg/m³
187,2017-01-08,21:00,67.739,35.64,µg/m³
188,2017-01-08,22:00,75.027,30.14,µg/m³
189,2017-01-08,23:00,61.354,33.11,µg/m³
190,2017-01-09,00:00,59.752,38.28,µg/m³
191,2017-01-09,01:00,49.997,26.18,µg/m³
192,2017-01-09,02:00,45.232,23.76,µg/m³
193,2017-01-09,03:00,45.463,23.32,µg/m³
194,2017-01-09,04:00,42.545,15.95,µg/m³
195,2017-01-09,05:00,60.708,16.06,µg/m³
196,2017-01-09,06:00,75.761,13.64,µg/m³
197,2017-01-09,07:00,84.494,17.71,µg/m³
198,2017-01-09,08:00,108.236,18.04,µg/m³
199,2017-01-09,09:00,101.953,20.24,µg/m³
200,2017-01-09,10:00,96.31,27.39,µg/m³
201,2017-01-09,11:00,75.576,24.64,µg/m³
202,2017-01-09,12:00,68.612,20.46,µg/m³
203,2017-01-09,13:00,93.123,12.65,µg/m³
204,2017-01-09,14:00,94.861,12.65,µg/m³
205,2017-01-09,15:00,101.814,16.94,µg/m³
206,2017-01-09,16:00,88.776,23.32,µg/m³
207,2017-01-09,17:00,76.885,32.56,µg/m³
208,2017-01-09,18:00,33.232,24.09,µg/m³
209,2017-01-09,19:00,18.735,15.84,µg/m³
210,2017-01-09,20:00,12.772,11.66,µg/m³
211,2017-01-09,21:00,10.431,7.37,µg/m³
212,2017-01-09,22:00,7.663,5.39,µg/m³
213,2017-01-09,23:00,5.106,6.27,µg/m³
214,2017-01-10,00:00,4.462,5.5,µg/m³
215,2017-01-10,01:00,4.666,3.96,µg/m³
216,2017-01-10,02:00,3.812,4.95,µg/m³
217,2017-01-10,03:00,5.293,3.85,µg/m³
218,2017-01-10,04:00,6.136,3.3,µg/m³
219,2017-01-10,05:00,7.617,2.64,µg/m³
220,2017-01-10,06:00,8.258,1.76,µg/m³
221,2017-01-10,07:00,9.317,2.2,µg/m³
222,2017-01-10,08:00,11.65,2.75,µg/m³
223,2017-01-10,09:00,8.452,3.19,µg/m³
224,2017-01-10,10:00,6.748,3.85,µg/m³
225,2017-01-10,11:00,7.592,3.19,µg/m³
226,2017-01-10,12:00,9.289,3.85,µg/m³
227,2017-01-10,13:00,11.193,2.64,µg/m³
228,2017-01-10,14:00,10.975,1.98,µg/m³
229,2017-01-10,15:00,11.176,1.87,µg/m³
230,2017-01-10,16:00,12.022,2.53,µg/m³
231,2017-01-10,17:00,18.82,1.98,µg/m³
232,2017-01-10,18:00,20.735,2.2,µg/m³
233,2017-01-10,19:00,20.091,5.61,µg/m³
234,2017-01-10,20:00,11.361,6.93,µg/m³
235,2017-01-10,21:00,7.953,11.0,µg/m³
236,2017-01-10,22:00,8.159,9.68,µg/m³
237,2017-01-10,23:00,5.389,7.59,µg/m³
238,2017-01-11,00:00,3.048,2.64,µg/m³
239,2017-01-11,01:00,1.768,4.29,µg/m³
240,2017-01-11,02:00,1.123,4.51,µg/m³
241,2017-01-11,03:00,1.542,8.03,µg/m³
242,2017-01-11,04:00,2.173,9.13,µg/m³
243,2017-01-11,05:00,3.022,6.27,µg/m³
244,2017-01-11,06:00,5.778,3.63,µg/m³
245,2017-01-11,07:00,8.114,4.51,µg/m³
246,2017-01-11,08:00,12.573,4.51,µg/m³
247,2017-01-11,09:00,10.229,0.44,µg/m³
248,2017-01-11,10:00,10.861,0.55,µg/m³
249,2017-01-11,11:00,10.442,-1.76,µg/m³
250,2017-01-11,13:00,11.264,-3.08,µg/m³
251,2017-01-11,14:00,15.956,-2.42,µg/m³
252,2017-01-11,15:00,42.481,-1.87,µg/m³
253,2017-01-11,16:00,108.921,2.42,µg/m³
254,2017-01-11,17:00,87.02,2.97,µg/m³
255,2017-01-11,18:00,81.427,8.03,µg/m³
256,2017-01-11,19:00,48.015,15.73,µg/m³
257,2017-01-11,20:00,60.828,16.61,µg/m³
258,2017-01-11,21:00,50.767,17.49,µg/m³
259,2017-01-11,22:00,34.706,11.77,µg/m³
260,2017-01-11,23:00,26.546,14.74,µg/m³
261,2017-01-12,00:00,22.49,10.34,µg/m³
262,2017-01-12,01:00,18.215,5.61,µg/m³
263,2017-01-12,02:00,6.525,6.49,µg/m³
264,2017-01-12,03:00,7.366,4.84,µg/m³
265,2017-01-12,04:00,6.298,5.17,µg/m³
266,2017-01-12,05:00,17.163,3.08,µg/m³
267,2017-01-12,06:00,24.384,5.39,µg/m³
268,2017-01-12,07:00,24.366,3.52,µg/m³
269,2017-01-12,08:00,35.637,3.3,µg/m³
270,2017-01-12,09:00,26.705,5.39,µg/m³
271,2017-01-12,10:00,40.825,8.47,µg/m³
272,2017-01-12,11:00,56.419,9.68,µg/m³
273,2017-01-12,12:00,35.46,9.46,µg/m³
274,2017-01-12,13:00,42.943,12.65,µg/m³
275,2017-01-12,14:00,42.715,18.04,µg/m³
276,2017-01-12,15:00,35.655,14.08,µg/m³
277,2017-01-12,16:00,43.968,17.49,µg/m³
278,2017-01-12,17:00,36.476,17.82,µg/m³
279,2017-01-12,18:00,40.331,13.64,µg/m³
280,2017-01-12,19:00,28.164,24.42,µg/m³
281,2017-01-12,20:00,18.561,17.6,µg/m³
282,2017-01-12,21:00,18.56,23.98,µg/m³
283,2017-01-12,22:00,11.098,18.48,µg/m³
